,Canada,Lithuania,Switzerland,Argentina,Ghana,Saudi.Arabia,Slovenia,Spain,Oman,New.Zealand,United.Arab.Emirates,Uruguay,India,Kenya,Turkey,Hungary,France,Norway,China,Finland,Sweden,Bulgaria,Romania,South.Africa,Cyprus,Qatar,Malaysia,Austria,Japan,Brazil,Costa.Rica,Luxembourg,Ireland,Pakistan,Nigeria,Ecuador,Czech.Republic,Brunei,Australia,Iran,Chile,Belgium,Thailand,Georgia,Poland,Portugal,Estonia,Lebanon,South.Korea,Taiwan,Italy,USA,Netherlands,Israel,Indonesia,Germany,Denmark,Sri.Lanka,Mexico,Egypt,Singapore,Serbia,United.Kingdom,Greece,Russia,Yemen,Kazakhstan,Kuwait,Tanzania,Slovakia,Algeria,Tunisia,Colombia,Nepal,Cameroon,Vietnam,Venezuela,Iraq,Botswana,Bangladesh,Zimbabwe,Philippines,Croatia,Ukraine,Jordan,Mauritius,Ethiopia,Uganda,Iceland,Latvia,Bosnia.and.Herzegovina,Morocco,Malta,Senegal,Papua.New.Guinea,Albania,Peru,Bahrain,Macedonia,Cambodia,Jamaica,Belarus,Zambia,Malawi,Kyrgyzstan,Trinidad.and.Tobago,Armenia,Sudan,Syria,Cuba,Moldova,Namibia
Venezuela,4007,9260,7994,4980,7409,11889,8546,7025,13030,13082,12613,5036,14290,11535,10131,8897,7643,8341,14530,9136,8760,9282,9477,11004,10285,12248,18084,8679,14250,3512,1878,7945,7175,13607,7739,1690,8542,18375,15411,11836,4805,7819,17085,11076,8998,6517,9140,10532,14567,15996,8407,3349,7884,10503,19190,8474,8420,15916,3605,10233,18407,9028,7548,9374,9999,11929,13076,11804,11900,8741,7554,8197,991,14911,8684,17586,487.8451263,11318,10755,15581,11168,17181,8665,9675,10636,13987,11514,11040,6957,9148,8877,6626,8595,5389,16240,9006,2689,12233,9133,17488,1379,9418,10876,11394,13018,623,11051,10731,10608,2185,9623,9827
Iraq,9410,2769,3447,13040,5520,1026,2912,4304,1775,15582,1406,12845,3193,3865,1233,2630,3861,3813,6333,3322,3485,2098,1991,6673,1037,1071,6809,2868,8410,11089,12757,3630,4554,2661,5182,13004,3085,7900,13251,698,14052,3766,6077,785,2815,4804,3239,823,7285,7403,2929,9988,3794,897,7875,3251,3476,4728,12998,1275,7134,2396,4077,1945,2507,1998,3058,567,4377,2812,3770,3129,12308,3973,4764,6784,11318,336.9319794,6632,4622,5745,7927,2768,2207,813,6063,2731,3869,5586,2997,2508,4716,2734,6546,11755,2340,13633,1029,2237,6595,11573,2594,5599,5248,2838,10778,778,2317,745,11584,2031,6760
Botswana,12759,8681,8020,8057,4276,5797,7870,7757,6299,12088,6163,7850,7983,2811,7053,7931,8356,9347,11683,9343,9262,7352,7566,261,6609,6139,8691,8066,13604,7697,12489,8432,9117,8067,4150,11472,8309,10070,11122,7099,9149,8511,9072,7387,8468,7816,9235,6428,12515,11636,7368,12730,8702,6299,8800,8544,8885,6722,14356,6033,8816,7592,8721,6900,8864,4770,9104,6347,2452,8057,7105,6888,11243,8529,3398,9561,10755,6632,389.6129444,8707,932,11129,7749,8246,6220,3285,3922,2766,10619,8908,7500,7240,6762,6343,12655,7266,10742,6196,7354,9393,12067,8573,1035,1459,8885,10216,7373,4405,6439,12792,7901,931
Bangladesh,12272,6327,7667,16757,9815,4431,7124,8712,3265,11211,3659,16547,1430,6385,5669,6758,7985,7243,3017,6452,6824,6462,6225,8570,5633,3970,2533,6963,4921,15536,16281,7671,8409,2040,9450,17172,7076,3315,8935,3986,17854,7791,1532,4656,6602,9235,6445,5445,3808,3163,7355,13000,7712,5515,3690,7126,7164,2206,15156,5869,2841,6676,8051,6470,5583,4928,2534,4271,6429,6901,8305,7685,16499,684,8743,2195,15581,4622,8707,196.2727271,7852,3357,7021,5937,5412,5968,5721,6757,8717,6434,6847,9263,7304,11157,7133,6761,18197,3958,6613,2022,15234,6172,7956,7372,2570,15160,4683,6103,5367,14805,6027,9379
Zimbabwe,12633,7924,7413,8905,4184,4883,7204,7292,5366,12547,5232,8695,7071,1894,6246,7224,7781,8666,10799,8586,8541,6620,6809,929,5795,5214,8058,7380,12770,8341,12983,7817,8574,7138,3980,12070,7630,9478,11289,6187,10013,7908,8329,6510,7739,7423,8480,5595,11655,10858,6734,12721,8087,5470,8303,7867,8206,5948,14756,5232,8216,6880,8144,6169,8044,3850,8172,5437,1521,7364,6601,6303,11763,7640,3098,8866,11168,5745,932,7852,319.3211593,10456,7073,7460,5381,2825,3018,1909,10066,8158,6807,6871,6129,6347,12432,6566,11464,5271,6638,8688,12409,7804,347,527,7952,10592,6497,3575,5600,13071,7125,1548
Philippines,13192,9093,10606,17783,13144,7787,10107,11715,6614,8246,7013,17760,4758,9401,8866,9731,10831,9775,2819,8988,9388,9576,9298,10920,8902,7328,2451,9897,2999,18779,16149,10497,11022,5271,12777,17346,9943,1269,6212,7258,17586,10594,2216,7833,9429,12229,9021,8742,2624,1217,10449,13834,10457,8824,2726,9923,9855,4583,14240,9194,2378,9733,10790,9670,8302,8218,5263,7616,9274,9839,11445,10867,17332,3965,12010,1596,17181,7927,11129,3357,10456,279.7906996,10034,8843,8733,7889,8940,9839,10763,9124,9921,12385,10511,14470,3877,9886,18041,7315,9723,1784,15938,8975,10661,10072,5412,17242,7862,9425,8666,15149,9025,11982
Croatia,6747,1208,683,11544,4707,3625,155,1699,4542,18232,4170,11399,5645,5521,1535,328,1094,1598,7736,1760,1556,679,813,7895,1844,3821,9424,327,9459,9247,10000,902,1840,4985,4508,10352,560,10323,15927,3186,12290,1034,8548,2411,860,2222,1658,2137,8557,9194,520,7275,1125,2179,10541,796,1137,7486,10298,2145,9750,373,1346,1012,1890,4255,4771,3321,6142,338,1481,1112,9647,6337,4688,9210,8665,2768,7749,7021,7073,10034,121.5185262,1216,2328,8373,4560,5263,3132,1351,299,2364,1035,4666,13878,542,11177,3786,560,9042,8812,1226,6801,6706,4629,8173,2387,3686,2195,8820,1011,7457
Ukraine,7245,562,1767,12759,5747,3216,1268,2872,3861,17084,3557,12612,4618,5709,1231,897,2050,1615,6522,1164,1279,1044,744,8350,1686,3257,8410,1055,8284,10462,10836,1734,2539,3933,5505,11339,1140,9202,14870,2376,13500,1857,7468,1575,688,3387,1067,1930,7353,7980,1701,7858,1797,2038,9553,1205,1333,6686,10834,2229,8732,1005,2130,1445,739,4082,3590,2764,6296,996,2694,2251,10637,5255,5517,8102,9675,2207,8246,5937,7460,8843,1216,396.8526402,2155,8233,4624,5561,3389,793,1197,3576,2034,5879,12669,1294,12267,3208,1131,7945,9651,390,7237,7024,3464,9224,1561,3894,1949,9539,360,8116
Jordan,9074,2686,2970,12242,4726,1323,2482,3688,2394,16182,1981,12050,3986,3572,934,2281,3404,3644,7119,3318,3386,1658,1675,6295,501,1615,7523,2510,9176,10276,12170,3229,4167,3472,4393,12310,2757,8665,13881,1508,13244,3362,6843,1275,2621,4163,3221,225,8065,8215,2360,9598,3435,149,8554,2961,3242,5335,12621,463,7844,1979,3674,1363,2668,1969,3839,1177,4147,2464,3089,2447,11625,4773,4035,7556,10636,813,6220,5412,5381,8733,2328,2155,152.6676442,6134,2471,3472,5370,2927,2037,4010,2049,5747,12544,1822,12865,1597,1768,7363,11001,2534,5190,4918,3624,10076,1253,1815,219,11092,1870,6235
Mauritius,14910,8788,8920,10970,6867,5037,8526,9206,4787,10631,4909,10783,5748,3096,7061,8391,9350,9778,8958,9378,9502,7749,7807,3056,6634,5107,5438,8607,10588,10965,15768,9258,10167,6125,6604,14744,8863,6790,8871,6159,11952,9381,5955,6810,8755,9493,9290,6354,9631,8534,8223,15205,9497,6272,5522,9079,9373,3782,17581,6233,5543,8065,9677,7361,8560,4167,7287,5547,2513,8568,8476,7988,14527,6024,5651,6359,13987,6063,3285,5968,2825,7889,8373,8233,6134,23.07213215,3838,3531,11490,9026,8075,9031,7686,9042,9624,7832,13899,5165,7830,6208,15231,8623,3132,2667,7120,13416,6811,4760,6319,15868,7989,4195
Ethiopia,11120,5144,5085,11216,4267,1884,4711,5415,2625,14424,2369,11002,4562,1133,3395,4612,5513,6046,8311,5786,5827,3969,4076,3948,2942,2265,6986,4815,10426,9872,13337,5432,6332,4419,3905,12979,5074,8389,12435,3178,12342,5552,6744,3506,5039,5756,5686,2696,9253,8880,4386,11513,5678,2586,7732,5300,5614,4544,14405,2455,7259,4275,5844,3555,5122,898,5311,2426,1678,4782,4691,4166,12409,5286,3072,7434,11514,2731,3922,5721,3018,8940,4560,4624,2471,3838,536.8045434,1208,7692,5385,4264,5366,3851,6128,12188,4018,12980,2317,4033,7230,12319,4998,2896,2517,5083,10893,3495,936,2683,12664,4324,4168
Uganda,11405,6039,5678,10095,3631,3084,5403,5757,3797,14078,3568,9881,5694,496,4341,5383,6077,6834,9468,6698,6677,4760,4930,2825,3888,3472,7689,5555,11567,8948,12915,6066,6894,5602,3303,12335,5812,9133,12399,4365,11226,6170,7622,4621,5875,5995,6594,3686,10398,9916,4980,11674,6329,3561,8271,6047,6380,5293,14312,3332,7927,5037,6432,4315,6135,2102,6518,3615,1018,5533,5031,4624,11847,6383,2357,8275,11040,3869,2766,6757,1909,9839,5263,5561,3472,3531,1208,251.0592157,8346,6275,4983,5511,4388,5714,12725,4737,12120,3524,4792,8075,12039,5912,1732,1465,6290,10419,4607,1669,3691,12524,5231,2960
Iceland,3876,2833,2669,11365,6783,6572,2982,2910,7237,17235,6945,11314,7640,8637,4462,3100,2285,1774,7966,2408,2135,3742,3695,10804,4869,6644,11239,2884,8872,9067,7688,2283,1502,6950,6744,8457,2628,11580,16722,5739,11606,2177,10152,4954,2778,3000,2456,5155,8437,9610,3367,4526,2024,5228,12385,2412,2131,9946,7454,5259,11532,3427,1923,4138,3347,7337,6184,6148,9261,2923,3518,3763,7800,8093,7280,10633,6957,5586,10619,8717,10066,10763,3132,3389,5370,11490,7692,8346,163.9423889,2622,3428,3584,3961,5560,13833,3674,9641,6597,3664,10532,6551,3012,9763,9753,6166,6684,4942,6813,5198,6286,3563,10132
Latvia,6494,241,1609,12660,6057,4009,1307,2697,4615,17306,4328,12535,5192,6451,1994,1063,1726,868,6615,437,491,1561,1348,9028,2444,4038,8951,1044,8200,10308,10184,1391,1977,4496,5857,10779,933,9617,15290,3117,13277,1476,7953,2333,492,3169,329,2702,7371,8162,1865,7126,1334,2803,10106,827,741,7374,10077,2955,9267,1360,1670,2012,854,4870,3971,3549,7048,1016,2734,2460,10084,5765,5999,8547,9148,2997,8908,6434,8158,9124,1351,793,2927,9026,5385,6275,2622,129.7235531,1502,3487,2365,5857,12845,1698,11798,3988,1579,8405,9009,404,7917,7741,3885,8741,2322,4619,2727,8843,1061,8706
Bosnia.and.Herzegovina,7040,1323,944,11585,4595,3341,453,1868,4283,18043,3904,11432,5455,5233,1277,444,1371,1859,7701,1930,1773,411,626,7640,1559,3551,9218,573,9481,9317,10250,1198,2134,4807,4376,10566,829,10158,15716,2960,12371,1329,8369,2205,1014,2389,1824,1850,8545,9120,530,7562,1424,1888,10324,1064,1400,7235,10586,1846,9544,196,1639,713,1918,3958,4661,3054,5853,558,1535,1053,9863,6164,4499,9040,8877,2508,7500,6847,6807,9921,299,1197,2037,8075,4264,4983,3428,1502,115.597924,2464,873,4705,13784,248,11353,3518,274,8869,9065,1301,6541,6431,4508,8372,2180,3394,1911,9091,920,7236
Morocco,5896,3440,1880,9204,3200,5277,2310,822,6404,19109,5988,9068,7846,5936,3594,2680,1833,3166,10073,3775,3417,2819,3088,7458,3679,5622,11523,2546,11670,6887,8223,2137,2215,7227,3184,8301,2567,12576,17788,5294,9926,2098,10764,4610,3076,591,3702,3914,10856,11556,1937,6187,2304,3879,12565,2665,2867,9322,9042,3611,11846,2652,2074,2798,4204,5489,7124,5181,6527,2599,958,1588,7614,8586,3842,11455,6626,4716,7240,9263,6871,12385,2364,3576,4010,9031,5366,5511,3584,3487,2464,341.3561201,1981,2374,16241,2513,8950,5607,2670,11275,7092,3517,6535,6692,6973,6069,4582,4445,3990,7328,3365,6632
Malta,7284,2195,1292,10845,3725,3350,1130,1663,4440,18194,4030,10682,5880,4700,1647,1303,1692,2601,8451,2786,2590,1024,1341,6920,1698,3663,9542,1361,10298,8640,10127,1689,2512,5280,3503,10277,1576,10611,15927,3323,11696,1786,8792,2679,1874,2118,2682,1937,9324,9800,607,7727,1958,1912,10595,1804,2143,7383,10718,1689,9866,1045,2044,842,2769,3736,5306,3209,5326,1370,1042,398,9585,6634,3653,9490,8595,2734,6762,7304,6129,10511,1035,2034,2049,7686,3851,4388,3961,2365,873,1981,9.137925984,4005,14386,741,10920,3644,909,9307,8966,2172,5842,5796,5131,8046,2650,2926,2013,9103,1712,6434
Senegal,6426,5799,4248,6881,2178,6794,4637,3186,7987,16777,7569,6733,9732,6208,5631,4992,4198,5515,12401,6148,5786,4995,5297,6599,5569,7228,13040,4887,14043,4635,7238,4509,4441,9199,2445,6883,4931,14341,17317,7212,7691,4463,12542,6659,5432,2791,6076,5729,13215,13805,4183,6400,4663,5650,13860,5038,5238,10622,8630,5288,13335,4900,4405,4837,6546,6611,9311,6888,6653,4935,3186,3682,6285,10519,3407,13262,5389,6546,6343,11157,6347,14470,4666,5879,5747,9042,6128,5714,5560,5857,4705,2374,4005,226.561372,18260,4687,7165,7232,4857,13063,6327,5863,6005,6389,9135,4767,6630,5385,5805,6851,5625,5508
Papua.New.Guinea,14256,12853,14406,14495,16356,11469,13937,15521,10275,4465,10694,14607,8563,12230,12740,13565,14569,13363,6234,12631,13023,13448,13166,12394,12756,11038,5232,13712,4965,16853,14363,14236,14573,9123,16024,14834,13724,3919,2893,11105,13836,14314,5723,11708,13207,16013,12684,12577,5545,4695,14313,14497,14146,12648,4472,13668,13540,7663,12787,12999,4944,13593,14456,13545,12070,11663,9123,11390,11853,13656,15315,14743,15401,7784,15081,5004,16240,11755,12655,7133,12432,3877,13878,12669,12544,9624,12188,12725,13833,12845,13784,16241,14386,18260,347.5266302,13759,14575,11036,13595,5202,15140,12756,12751,12281,9281,16860,11736,12894,12500,14502,12877,13570
Albania,7265,1503,1148,11554,4457,3136,695,1981,4111,17915,3723,11396,5356,4985,1126,665,1583,2101,7737,2132,1999,311,613,7403,1358,3366,9097,819,9561,9315,10418,1433,2364,4722,4223,10696,1075,10076,15581,2832,12373,1561,8275,2106,1221,2495,2025,1645,8598,9122,600,7777,1665,1673,10191,1310,1644,7068,10800,1609,9423,338,1868,475,2031,3724,4642,2875,5605,799,1561,1005,9995,6081,4304,8956,9006,2340,7266,6761,6566,9886,542,1294,1822,7832,4018,4737,3674,1698,248,2513,741,4687,13759,86.61469319,11443,3335,172,8780,9236,1457,6302,6187,4479,8488,2079,3146,1710,9284,973,7017
Peru,6374,11893,10531,3081,8732,13958,11073,9486,15151,10596,14734,3234,16796,12562,12544,11440,10218,11013,16718,11812,11429,11740,11974,10935,12606,14391,18992,11237,15502,3185,2571,10535,9821,16159,9098,1349,11128,18472,12868,14242,2425,10416,19707,13549,11608,8964,11810,12812,16333,17568,10848,5651,10503,12753,17952,11085,11062,17378,4261,12418,18779,11522,10163,11748,12652,13655,15755,14032,12687,11298,9908,10534,1880,17513,9910,19578,2689,13633,10742,18197,11464,18041,11177,12267,12865,13899,12980,12120,9641,11798,11353,8950,10920,7165,14575,11443,579.1104268,14394,11589,19777,3336,12043,11276,11868,15682,3057,13522,12428,12890,3953,12171,9924
Bahrain,10435,3768,4461,13322,5905,504,3932,5267,797,14610,389,13115,2578,3386,2252,3657,4880,4823,6128,4284,4479,3110,3018,6192,1987,60,5937,3896,8251,11610,13747,4656,5582,2231,5545,13904,4114,7126,12293,1006,14410,4792,5313,1672,3836,5752,4209,1717,7086,6961,3911,11017,4823,1733,6958,4279,4499,3746,14025,2008,6257,3415,5104,2911,3414,1431,3005,465,3796,3840,4685,4042,13221,3371,4951,6032,12233,1029,6196,3958,5271,7315,3786,3208,1597,5165,2317,3524,6597,3988,3518,5607,3644,7232,11036,3335,14394,14.18403636,3245,5834,12569,3590,5188,4750,2776,11670,1678,2290,1644,12606,3054,6484
Macedonia,7306,1373,1218,11726,4617,3069,714,2113,4012,17790,3631,11567,5213,5024,1009,591,1644,2042,7565,2015,1908,151,441,7486,1287,3277,8966,782,9391,9485,10520,1461,2400,4573,4379,10823,1041,9928,15458,2703,12542,1594,8131,1962,1115,2631,1907,1579,8426,8953,741,7833,1677,1620,10066,1269,1593,6965,10857,1597,9292,245,1906,481,1869,3700,4475,2782,5641,750,1722,1176,10120,5932,4438,8808,9133,2237,7354,6613,6638,9723,560,1131,1768,7830,4033,4792,3664,1579,274,2670,909,4857,13595,172,11589,3245,81.90750276,8634,9336,1314,6381,6248,4314,8622,1935,3180,1639,9364,803,7128
Cambodia,13735,8313,9686,16940,11483,6269,9145,10734,5076,9189,5493,16799,3429,7628,7681,8777,9995,9183,3316,8383,8768,8482,8247,9196,7621,5836,960,8979,4423,16995,17459,9677,10382,4062,11117,18715,9085,1305,6925,5984,17517,9795,521,6674,8602,11257,8387,7416,3641,2353,9375,14454,9705,7475,1913,9124,9142,2801,15708,7810,1120,8699,10045,8478,7551,6563,4442,6196,7489,8917,10317,9692,18251,2706,10298,205,17488,6595,9393,2022,8688,1784,9042,7945,7363,6208,7230,8075,10532,8405,8869,11275,9307,13063,5202,8780,19777,5834,8634,217.3501365,16767,8165,8884,8293,4520,17145,6701,7792,7338,16119,8046,10224
Jamaica,3039,9165,8130,6099,8456,12316,8674,7314,13347,12821,12958,6187,14178,12533,10342,8988,7729,8151,13511,8904,8565,9476,9613,12321,10583,12597,17661,8755,12951,4870,1189,7989,7116,13484,8758,2005,8572,17202,15104,11975,5711,7855,16536,11174,8964,6849,8930,10858,13393,14822,8659,2315,7871,10857,18615,8456,8329,16298,2354,10654,17886,9185,7555,9659,9825,12572,12719,12111,12972,8814,7943,8574,1510,14637,9719,16783,1379,11573,12067,15234,12409,15938,8812,9651,11001,15231,12319,12039,6551,9009,9065,7092,8966,6327,15140,9236,3336,12569,9336,16767,53.55148187,9338,12100,12583,12713,1856,11154,11455,10928,810,9677,11136
Belarus,6877,180,1650,12720,5895,3605,1230,2765,4228,17214,3934,12584,4891,6074,1603,903,1861,1243,6556,790,891,1266,1012,8685,2056,3639,8671,977,8235,10391,10519,1529,2249,4199,5674,11068,970,9401,15082,2735,13401,1638,7700,1942,454,3264,688,2308,7352,8062,1744,7500,1540,2412,9821,962,1011,7020,10464,2582,8991,1129,1880,1704,688,4469,3759,3148,6666,929,2691,2327,10369,5496,5751,8315,9418,2594,8573,6172,7804,8975,1226,390,2534,8623,4998,5912,3012,404,1301,3517,2172,5863,12756,1457,12043,3590,1314,8165,9338,232.7481949,7572,7377,3653,8989,1930,4249,2331,9199,681,8407
Zambia,12286,7686,7120,8805,3840,4778,6929,6969,5341,12871,5178,8593,7107,1804,6034,6964,7481,8398,10863,8348,8288,6369,6570,1113,5587,5133,8286,7112,12876,8128,12706,7527,8267,7132,3633,11828,7360,9718,11635,6075,9924,7615,8508,6353,7489,7090,8242,5400,11742,11009,6448,12375,7797,5271,8576,7596,7937,6118,14451,5015,8456,6622,7845,5917,7841,3758,8133,5323,1543,7098,6284,6003,11497,7707,2752,9066,10876,5599,1035,7956,347,10661,6801,7237,5190,3132,2896,1732,9763,7917,6541,6535,5842,6005,12751,6302,11276,5188,6381,8884,12100,7572,443.1570259,594,7910,10293,6338,3376,5409,12750,6895,1425
Malawi,12537,7504,7087,9387,4212,4369,6842,7051,4840,12786,4706,9175,6556,1385,5801,6838,7470,8287,10297,8163,8140,6221,6394,1442,5347,4693,7708,7005,12293,8715,13241,7483,8277,6614,3967,12398,7259,9145,11369,5674,10502,7581,7914,6020,7337,7223,8059,5136,11165,10415,6396,12690,7750,5013,8032,7495,7831,5524,14937,4796,7885,6493,7831,5773,7586,3333,7645,4925,996,6985,6342,5998,12047,7138,3035,8477,11394,5248,1459,7372,527,10072,6706,7024,4918,2667,2517,1465,9753,7741,6431,6692,5796,6389,12281,6187,11868,4750,6248,8293,12583,7377,594,175.8308881,7425,10802,6008,3130,5136,13201,6696,2007
Kyrgyzstan,9853,3796,5229,15862,8349,3251,4710,6323,2593,13624,2734,15672,1576,6109,3510,4336,5503,4677,3497,3883,4259,4168,3887,8847,3640,2824,5103,4516,5578,13768,13826,5177,5862,1009,8015,14607,4594,5749,11429,2149,16813,5289,4072,2496,4098,6843,3879,3557,4447,4678,5037,10566,5190,3669,6260,4615,4622,4031,13130,4069,5411,4321,5530,4298,3031,4187,230,2798,6437,4456,6035,5470,13928,1928,7584,4665,13018,2838,8885,2570,7952,5412,4629,3464,3624,7120,5083,6290,6166,3885,4508,6973,5131,9135,9281,4479,15682,2776,4314,4520,12713,3653,7910,7425,228.4190206,12626,2525,5005,3490,12376,3618,9245
Trinidad.and.Tobago,4087,8838,7511,4976,6789,11312,8060,6509,12466,13590,12046,5003,13817,10914,9611,8419,7179,7962,14467,8764,8377,8772,8982,10468,9742,11682,17584,8208,14454,3233,2497,7490,6764,13147,7117,2234,8085,18260,15901,11320,4958,7369,16689,10577,8557,5994,8758,9982,14627,16026,7888,3494,7449,9947,18604,8034,8005,15320,4167,9664,17910,8530,7109,8840,9595,11320,12703,11250,11286,8270,7008,7650,1562,14479,8064,17278,623,10778,10216,15160,10592,17242,8173,9224,10076,13416,10893,10419,6684,8741,8372,6069,8046,4767,16860,8488,3057,11670,8622,17145,1856,8989,10293,10802,12626,36.58738155,10552,10117,10058,2624,9149,9285
Armenia,8805,2110,3063,13354,5886,1788,2510,4046,2300,15864,2007,13173,3278,4628,1004,2174,3438,3172,5977,2607,2812,1784,1574,7424,1129,1731,7040,2403,7987,11253,12343,3166,4048,2645,5570,12738,2582,7998,13542,825,14289,3299,6196,29,2225,4566,2532,1112,6905,7200,2676,9418,3288,1243,8154,2710,2885,5157,12393,1632,7366,2024,3599,1809,1749,2776,2721,1265,5150,2343,3625,3017,12034,4004,5275,6877,11051,778,7373,4683,6497,7862,2387,1561,1253,6811,3495,4607,4942,2322,2180,4582,2650,6630,11736,2079,13522,1678,1935,6701,11154,1930,6338,6008,2525,10552,88.09335068,3003,1063,11083,1478,7453
Sudan,10185,4380,4178,11035,3720,1787,3833,4479,2850,15361,2490,10826,4808,1845,2673,3769,4601,5217,8416,5037,5034,3133,3279,4483,2220,2254,7662,3958,10537,9434,12512,4538,5422,4519,3352,12268,4217,9015,13349,2913,12131,4654,7286,3020,4234,4823,4934,2024,9374,9203,3476,10577,4790,1896,8493,4448,4773,5237,13487,1667,7952,3425,4939,2699,4469,1234,5234,2209,2461,3930,3755,3232,11660,5582,2672,7996,10731,2317,4405,6103,3575,9425,3686,3894,1815,4760,936,1669,6813,4619,3394,4445,2926,5385,12894,3146,12428,2290,3180,7792,11455,4249,3376,3130,5005,10117,3003,700.2890693,2034,11762,3568,4452
Syria,8932,2486,2853,12372,4865,1430,2347,3623,2435,16253,2032,12182,3937,3788,742,2124,3282,3460,6980,3113,3191,1518,1504,6513,352,1669,7533,2357,9022,10366,12104,3091,4029,3396,4538,12290,2599,8643,13936,1413,13356,3225,6819,1087,2437,4110,3016,78,7921,8113,2271,9470,3288,183,8583,2796,3068,5390,12493,582,7856,1837,3538,1269,2451,2152,3701,1198,4360,2308,3054,2411,11598,4717,4213,7528,10608,745,6439,5367,5600,8666,2195,1949,219,6319,2683,3691,5198,2727,1911,3990,2013,5805,12500,1710,12890,1644,1639,7338,10928,2331,5409,5136,3490,10058,1063,2034,219.8212569,10993,1674,6448
Cuba,2536,9021,8147,6837,9016,12414,8674,7440,13350,12707,12989,6937,13906,13009,10353,8958,7726,7975,12816,8686,8376,9496,9595,13049,10641,12640,17061,8721,12154,5680,1476,7955,7043,13226,9296,2604,8516,16417,14889,11907,6368,7819,15962,11101,8861,7014,8725,10927,12638,14058,8731,1813,7805,10944,17861,8374,8207,16217,1788,10786,17232,9190,7510,9730,9622,12804,12353,12141,13495,8778,8114,8723,2235,14264,10257,16106,2185,11584,12792,14805,13071,15149,8820,9539,11092,15868,12664,12524,6286,8843,9091,7328,9103,6851,14502,9284,3953,12606,9364,16119,810,9199,12750,13201,12376,2624,11083,11762,10993,169.3292451,9611,11862
Moldova,7380,820,1641,12504,5408,3009,1100,2708,3750,17229,3419,12350,4670,5394,936,732,1982,1800,6782,1470,1516,700,390,8009,1383,3099,8461,944,8588,10234,10866,1694,2570,3998,5160,11301,1105,9320,14955,2302,13285,1826,7557,1497,786,3230,1367,1646,7632,8204,1445,7970,1810,1743,9593,1237,1445,6635,10971,1901,8786,725,2122,1085,1088,3825,3762,2597,5989,882,2451,1960,10597,5343,5158,8210,9623,2031,7901,6027,7125,9025,1011,360,1870,7989,4324,5231,3563,1061,920,3365,1712,5625,12877,973,12171,3054,803,8046,9677,681,6895,6696,3618,9149,1478,3568,1674,9611,93.98357985,7758
Namibia,11933,8492,7634,7381,3531,6040,7563,7227,6712,12627,6515,7169,8520,3156,6984,7678,7929,9034,12285,9143,9007,7149,7397,1187,6563,6432,9562,7783,14299,6827,11574,8049,8643,8514,3463,10586,8009,10960,11893,7305,8499,8111,9874,7471,8238,7220,9035,6424,13167,12406,7027,11858,8316,6290,9716,8238,8577,7496,13429,5975,9701,7353,8288,6704,8786,5060,9472,6560,2966,7782,6626,6500,10332,9131,2856,10398,9827,6760,931,9379,1548,11982,7457,8116,6235,4195,4168,2960,10132,8706,7236,6632,6434,5508,13570,7017,9924,6484,7128,10224,11136,8407,1425,2007,9245,9285,7453,4452,6448,11862,7758,463.78069
