"genes","GOterms"
"tcat19873",70
"tcat5493",7
"tcat17535",30
"tcat6602",30
"tcat11369",141
"tcat7399",6
"tcat15545",62
"tcat19599",96
"tcat2641",10
"tcat2438",129
"tcat6249",21
"tcat8047",86
"tcat599",130
"tcat7271",152
"tcat15305",26
"tcat6923",104
"tcat4113",82
"tcat9528",30
"tcat9129",102
"tcat12972",95
"tcat15344",2
"tcat7515",111
"tcat14880",129
"tcat6407",131
"tcat10803",97
"tcat17326",143
"tcat639",70
"tcat13019",144
"tcat183",87
"tcat9861",141
"tcat3660",23
"tcat14993",24
"tcat333",14
"tcat1724",146
"tcat17610",77
"tcat3900",5
"tcat12340",145
"tcat5369",142
"tcat10098",92
"tcat12064",78
"tcat9010",72
"tcat10271",53
"tcat19623",12
"tcat2294",27
"tcat1709",9
"tcat4071",139
"tcat11394",153
"tcat8046",71
"tcat19420",59
"tcat5763",70
"tcat6533",57
"tcat16766",128
"tcat9236",89
"tcat13160",30
"tcat2578",102
"tcat11266",1
"tcat9210",49
"tcat12782",31
"tcat13751",40
"tcat12105",32
"tcat746",144
"tcat4756",70
"tcat10990",84
"tcat16930",27
"tcat4301",107
"tcat10868",148
"tcat17861",74
"tcat6721",150
"tcat838",23
"tcat11981",7
"tcat13441",26
"tcat7976",151
"tcat17611",87
"tcat13702",66
"tcat18583",25
"tcat17677",150
"tcat9189",109
"tcat10347",118
"tcat7015",144
"tcat6929",23
"tcat19051",54
"tcat14820",142
"tcat8052",71
"tcat17011",81
"tcat5846",44
"tcat16439",72
"tcat4480",116
"tcat8377",110
"tcat19191",114
"tcat14060",71
"tcat4196",63
"tcat12697",72
"tcat17385",95
"tcat13672",44
"tcat16760",49
"tcat10112",40
"tcat14419",134
"tcat2127",142
"tcat14035",8
"tcat4631",82
"tcat631",107
"tcat2875",107
"tcat17492",15
"tcat16935",94
"tcat8041",75
"tcat18800",56
"tcat6882",78
"tcat6951",36
"tcat10898",151
"tcat11239",118
"tcat1817",133
"tcat19411",59
"tcat15394",143
"tcat9351",8
"tcat16288",128
"tcat19905",137
"tcat19649",40
"tcat15986",62
"tcat14691",131
"tcat11197",31
"tcat1128",79
"tcat15154",8
"tcat11054",110
"tcat10054",153
"tcat13628",89
"tcat15199",82
"tcat4321",34
"tcat9596",3
"tcat12543",9
"tcat14614",142
"tcat1151",76
"tcat18418",77
"tcat6570",68
"tcat1715",153
"tcat9699",33
"tcat10044",114
"tcat16060",116
"tcat4078",25
"tcat4552",36
"tcat4687",139
"tcat8872",54
"tcat4953",104
"tcat4197",47
"tcat9948",92
"tcat19980",74
"tcat14946",146
"tcat3948",153
"tcat3184",118
"tcat1735",146
"tcat16823",26
"tcat4268",38
"tcat1912",74
"tcat14914",124
"tcat5499",27
"tcat9113",82
"tcat13267",133
"tcat1375",34
"tcat3289",100
"tcat12436",139
"tcat9311",53
"tcat17990",144
"tcat1122",47
"tcat8859",16
"tcat2811",3
"tcat9999",128
"tcat7884",142
"tcat19099",66
"tcat2411",53
"tcat837",98
"tcat9866",13
"tcat8065",63
"tcat16416",24
"tcat17908",147
"tcat8291",4
"tcat2934",25
"tcat18684",125
"tcat15600",54
"tcat14632",22
"tcat9200",58
"tcat12602",139
"tcat10273",147
"tcat5022",93
"tcat16064",38
"tcat17592",145
"tcat2941",71
"tcat18540",89
"tcat10404",2
"tcat19270",153
"tcat1004",79
"tcat1240",143
"tcat10730",76
"tcat14256",142
"tcat10766",24
"tcat7272",105
"tcat18524",19
"tcat371",30
"tcat11574",149
"tcat16032",99
"tcat10746",67
"tcat11379",145
"tcat14528",47
"tcat6973",144
"tcat12891",112
"tcat13585",144
"tcat1163",143
"tcat1361",61
"tcat8346",92
"tcat13031",140
"tcat15799",144
"tcat10855",8
"tcat1694",34
"tcat10352",34
"tcat1260",61
"tcat10974",78
"tcat1641",99
"tcat6280",37
"tcat7211",105
"tcat19066",76
"tcat13983",2
"tcat512",4
"tcat9313",50
"tcat11563",133
"tcat6122",94
"tcat3570",147
"tcat13987",28
"tcat15186",74
"tcat19370",5
"tcat18722",18
"tcat13068",101
"tcat12149",31
"tcat16899",120
"tcat11822",19
"tcat14524",21
"tcat20000",120
"tcat4962",79
"tcat6225",130
"tcat14902",111
"tcat5287",89
"tcat4435",53
"tcat15009",23
"tcat11229",71
"tcat8543",111
"tcat865",148
"tcat5614",126
"tcat10859",61
"tcat17508",43
"tcat5492",15
"tcat13442",28
"tcat9434",80
"tcat4241",21
"tcat19333",31
"tcat11486",63
"tcat6895",99
"tcat8924",135
"tcat10661",61
"tcat14512",125
"tcat16080",58
"tcat7539",15
"tcat18706",132
"tcat7769",26
"tcat767",84
"tcat13795",154
"tcat9164",35
"tcat4609",7
"tcat9166",111
"tcat1714",44
"tcat2352",124
"tcat12284",134
"tcat18220",59
"tcat11706",99
"tcat15197",11
"tcat2471",112
"tcat1594",57
"tcat14630",152
"tcat6824",29
"tcat19579",54
"tcat4704",130
"tcat7405",83
"tcat19414",24
"tcat2261",37
"tcat8219",15
"tcat7106",111
"tcat15547",134
"tcat12163",77
"tcat8213",27
"tcat3282",71
"tcat16569",119
"tcat7955",35
"tcat10710",95
"tcat12144",142
"tcat11873",22
"tcat7643",130
"tcat6680",109
"tcat6430",134
"tcat18221",89
"tcat13371",3
"tcat9368",3
"tcat11345",32
"tcat6271",36
"tcat2040",110
"tcat5863",137
"tcat7707",9
"tcat778",153
"tcat3277",1
"tcat13678",37
"tcat18216",97
"tcat3274",3
"tcat490",114
"tcat3646",74
"tcat1495",136
"tcat2653",7
"tcat5922",63
"tcat9715",55
"tcat14941",90
"tcat627",86
"tcat6919",141
"tcat16806",1
"tcat8471",7
"tcat7097",9
"tcat14424",33
"tcat17274",91
"tcat3150",127
"tcat6340",50
"tcat16955",42
"tcat4724",130
"tcat4140",10
"tcat9789",97
"tcat14378",50
"tcat9305",90
"tcat12878",119
"tcat2710",94
"tcat5680",112
"tcat7886",148
"tcat19701",122
"tcat480",34
"tcat4803",17
"tcat5320",30
"tcat15168",16
"tcat9278",20
"tcat3903",88
"tcat11274",109
"tcat17877",7
"tcat1775",108
"tcat5145",43
"tcat5388",135
"tcat226",3
"tcat6359",12
"tcat3053",122
"tcat9517",101
"tcat9734",112
"tcat1418",145
"tcat12546",61
"tcat7140",149
"tcat11415",143
"tcat805",113
"tcat10951",128
"tcat441",107
"tcat14857",57
"tcat15192",31
"tcat11987",74
"tcat5095",141
"tcat8931",46
"tcat14165",51
"tcat17562",61
"tcat4445",140
"tcat17455",55
"tcat18320",70
"tcat10092",95
"tcat3688",60
"tcat6412",105
"tcat275",127
"tcat18029",19
"tcat15427",86
"tcat1441",85
"tcat4814",119
"tcat14270",96
"tcat10203",10
"tcat8298",82
"tcat3183",56
"tcat2718",72
"tcat11210",69
"tcat16077",17
"tcat5460",132
"tcat11256",69
"tcat4938",114
"tcat10200",146
"tcat4286",9
"tcat14193",77
"tcat9420",86
"tcat4289",13
"tcat5875",43
"tcat7180",151
"tcat6960",135
"tcat15998",91
"tcat17515",74
"tcat3861",92
"tcat15249",135
"tcat15625",47
"tcat11738",12
"tcat5760",114
"tcat7803",126
"tcat1053",49
"tcat9381",89
"tcat13178",72
"tcat16259",96
"tcat3032",154
"tcat9365",85
"tcat8645",30
"tcat13400",57
"tcat15003",52
"tcat1343",63
"tcat5239",23
"tcat3425",44
"tcat12232",34
"tcat15847",85
"tcat13799",47
"tcat2821",37
"tcat13905",101
"tcat14718",95
"tcat1362",46
"tcat11920",107
"tcat13771",83
"tcat4854",126
"tcat3225",134
"tcat4530",115
"tcat2813",121
"tcat10172",112
"tcat19547",53
"tcat3310",36
"tcat17496",27
"tcat15967",1
"tcat9298",97
"tcat12758",7
"tcat7702",63
"tcat3449",45
"tcat12917",92
"tcat5347",122
"tcat3783",83
"tcat15487",140
"tcat13636",65
"tcat12508",24
"tcat14529",125
"tcat4049",103
"tcat15234",107
"tcat5851",109
"tcat14452",91
"tcat3356",46
"tcat1264",17
"tcat10976",32
"tcat2441",82
"tcat16051",52
"tcat16471",112
"tcat4316",22
"tcat1973",55
"tcat19328",126
"tcat1294",118
"tcat9253",121
"tcat9720",19
"tcat17248",40
"tcat12538",151
"tcat19268",93
"tcat5469",151
"tcat170",61
"tcat9134",103
"tcat18746",88
"tcat15250",43
"tcat17723",75
"tcat4680",81
"tcat2937",142
"tcat6806",27
"tcat12578",30
"tcat6354",125
"tcat13211",128
"tcat15316",89
"tcat2929",148
"tcat18623",19
"tcat14843",41
"tcat18295",106
"tcat9988",1
"tcat1150",62
"tcat2582",33
"tcat14071",116
"tcat16293",60
"tcat4423",150
"tcat19560",35
"tcat5913",132
"tcat4487",43
"tcat13539",60
"tcat15627",96
"tcat9634",88
"tcat8402",130
"tcat11496",105
"tcat12771",29
"tcat7361",138
"tcat1678",78
"tcat3871",101
"tcat14384",62
"tcat14726",115
"tcat16190",148
"tcat11307",82
"tcat3817",36
"tcat13772",45
"tcat6289",3
"tcat16718",115
"tcat7575",15
"tcat14314",126
"tcat6827",80
"tcat10782",21
"tcat1954",39
"tcat18641",119
"tcat1218",82
"tcat16490",29
"tcat15917",64
"tcat17287",17
"tcat11436",16
"tcat7492",46
"tcat8451",122
"tcat9642",36
"tcat5662",131
"tcat8220",74
"tcat8089",110
"tcat5459",90
"tcat10068",26
"tcat13660",111
"tcat19551",138
"tcat4317",92
"tcat4801",33
"tcat9797",67
"tcat8423",20
"tcat1751",9
"tcat9765",76
"tcat373",32
"tcat17012",9
"tcat13639",60
"tcat15089",147
"tcat17421",61
"tcat6690",96
"tcat4192",89
"tcat11492",93
"tcat2823",150
"tcat18394",4
"tcat18283",49
"tcat11074",101
"tcat9373",12
"tcat12556",20
"tcat15255",21
"tcat7871",85
"tcat11205",63
"tcat514",43
"tcat5147",81
"tcat8259",40
"tcat11696",4
"tcat5810",135
"tcat1300",142
"tcat2753",127
"tcat1159",33
"tcat6978",103
"tcat1118",76
"tcat14538",154
"tcat18977",122
"tcat13264",54
"tcat5880",50
"tcat6660",10
"tcat15096",17
"tcat6659",110
"tcat13683",64
"tcat3350",28
"tcat6953",148
"tcat7867",5
"tcat6305",109
"tcat17017",83
"tcat14835",13
"tcat4526",75
"tcat11365",87
"tcat12215",112
"tcat16030",66
"tcat5199",24
"tcat8343",101
"tcat17154",75
"tcat2638",72
"tcat5705",41
"tcat7360",137
"tcat14601",12
"tcat14755",36
"tcat14942",118
"tcat10526",51
"tcat16376",24
"tcat16894",23
"tcat7454",129
"tcat12833",141
"tcat6002",46
"tcat18317",36
"tcat7703",64
"tcat476",43
"tcat19156",5
"tcat14195",123
"tcat4347",72
"tcat12956",75
"tcat1535",92
"tcat15124",146
"tcat17430",141
"tcat4022",81
"tcat18676",129
"tcat5013",103
"tcat5756",90
"tcat17899",77
"tcat2470",111
"tcat5310",14
"tcat1212",71
"tcat2207",81
"tcat15758",96
"tcat6209",76
"tcat14097",115
"tcat10964",47
"tcat9323",118
"tcat7828",107
"tcat14861",147
"tcat13546",26
"tcat3062",151
"tcat32",97
"tcat19372",11
"tcat7263",18
"tcat719",54
"tcat3600",110
"tcat3809",92
"tcat2332",4
"tcat5065",152
"tcat14854",26
"tcat1554",25
"tcat7862",120
"tcat7309",27
"tcat8435",40
"tcat1873",119
"tcat1685",88
"tcat4154",40
"tcat11994",12
"tcat18737",136
"tcat6739",67
"tcat14781",70
"tcat5463",115
"tcat19453",131
"tcat10626",148
"tcat8742",23
"tcat1192",110
"tcat18047",49
"tcat13603",122
"tcat3364",64
"tcat9977",48
"tcat12477",77
"tcat3286",141
"tcat12609",4
"tcat7122",142
"tcat12676",30
"tcat19687",112
"tcat19154",97
"tcat4900",15
"tcat519",141
"tcat4828",104
"tcat1374",50
"tcat11755",89
"tcat10110",127
"tcat16012",93
"tcat5618",106
"tcat16535",54
"tcat12388",25
"tcat14794",58
"tcat2410",116
"tcat10215",7
"tcat5048",15
"tcat16414",88
"tcat2561",68
"tcat19382",115
"tcat7241",21
"tcat9160",50
"tcat2637",15
"tcat12625",60
"tcat3513",19
"tcat14367",104
"tcat18237",19
"tcat13222",153
"tcat11158",87
"tcat4706",54
"tcat3506",40
"tcat16496",132
"tcat1924",39
"tcat9269",92
"tcat14253",149
"tcat307",111
"tcat629",56
"tcat12172",102
"tcat15411",48
"tcat3784",132
"tcat19250",110
"tcat12913",139
"tcat13491",122
"tcat2546",120
"tcat9150",117
"tcat10221",19
"tcat16331",87
"tcat12557",84
"tcat1258",13
"tcat4270",52
"tcat1189",79
"tcat13318",96
"tcat19327",83
"tcat19123",134
"tcat12167",124
"tcat4471",9
"tcat16421",102
"tcat18493",38
"tcat4483",63
"tcat3501",122
"tcat7235",72
"tcat10498",82
"tcat9317",97
"tcat1272",129
"tcat8181",15
"tcat2494",50
"tcat17310",59
"tcat10858",98
"tcat8842",146
"tcat4804",90
"tcat16904",83
"tcat1273",154
"tcat16580",106
"tcat15480",111
"tcat17502",130
"tcat7915",111
"tcat7220",69
"tcat11906",118
"tcat12997",46
"tcat12554",35
"tcat17325",134
"tcat16755",82
"tcat13172",149
"tcat16263",13
"tcat9016",43
"tcat176",118
"tcat19245",148
"tcat8340",113
"tcat14936",128
"tcat3855",120
"tcat15209",26
"tcat8429",56
"tcat17935",73
"tcat15370",150
"tcat14455",123
"tcat471",113
"tcat11109",81
"tcat17998",113
"tcat4167",143
"tcat4599",116
"tcat16724",61
"tcat9707",130
"tcat10169",41
"tcat7945",96
"tcat5510",70
"tcat6671",60
"tcat40",19
"tcat11922",120
"tcat16070",125
"tcat1435",125
"tcat5981",105
"tcat17625",29
"tcat1854",11
"tcat11414",73
"tcat10867",103
"tcat5020",42
"tcat4351",130
"tcat19428",137
"tcat1901",8
"tcat11967",74
"tcat11271",65
"tcat19391",127
"tcat18827",139
"tcat2731",120
"tcat1017",60
"tcat17",43
"tcat4112",60
"tcat3878",126
"tcat125",142
"tcat1304",66
"tcat1403",109
"tcat15596",28
"tcat17201",103
"tcat10330",11
"tcat12561",152
"tcat15327",12
"tcat1830",128
"tcat5390",98
"tcat6402",24
"tcat2665",84
"tcat1939",149
"tcat396",106
"tcat11282",42
"tcat12954",21
"tcat12092",112
"tcat15227",126
"tcat14969",111
"tcat1823",48
"tcat19302",60
"tcat9396",67
"tcat7308",49
"tcat14087",74
"tcat8763",132
"tcat15381",15
"tcat18941",137
"tcat8129",12
"tcat2078",154
"tcat64",136
"tcat7948",55
"tcat779",98
"tcat2020",67
"tcat4373",71
"tcat7889",84
"tcat19261",60
"tcat15871",53
"tcat19683",85
"tcat11204",92
"tcat15279",38
"tcat15670",20
"tcat9890",88
"tcat727",134
"tcat1074",19
"tcat10681",18
"tcat13156",126
"tcat17105",83
"tcat9026",107
"tcat18742",63
"tcat11541",4
"tcat2316",19
"tcat3776",133
"tcat9568",55
"tcat4053",127
"tcat5975",48
"tcat2958",123
"tcat15217",33
"tcat29",68
"tcat8770",43
"tcat988",101
"tcat16627",80
"tcat13592",64
"tcat852",66
"tcat12248",60
"tcat15050",87
"tcat1422",94
"tcat9531",109
"tcat13613",4
"tcat4833",132
"tcat9256",82
"tcat2414",36
"tcat4971",61
"tcat16929",34
"tcat11033",110
"tcat19923",145
"tcat5992",119
"tcat7933",96
"tcat11113",84
"tcat15678",23
"tcat13602",129
"tcat14901",115
"tcat19523",39
"tcat15614",126
"tcat19135",33
"tcat6012",53
"tcat9235",2
"tcat4773",94
"tcat11683",101
"tcat11040",55
"tcat13576",6
"tcat3709",125
"tcat9540",112
"tcat11728",60
"tcat14009",41
"tcat7735",9
"tcat12258",12
"tcat16653",141
"tcat14081",84
"tcat1234",108
"tcat12596",24
"tcat9966",152
"tcat16440",22
"tcat15529",140
"tcat7695",65
"tcat3213",97
"tcat2756",124
"tcat8554",129
"tcat13687",62
"tcat7738",78
"tcat15392",59
"tcat19824",66
"tcat15611",24
"tcat16824",8
"tcat8010",73
"tcat9631",57
"tcat2064",35
"tcat1481",77
"tcat10968",65
"tcat967",71
"tcat6800",38
"tcat9883",154
"tcat18875",90
"tcat822",131
"tcat7439",3
"tcat7928",93
"tcat16947",135
"tcat3084",124
"tcat11217",124
"tcat8405",149
"tcat18982",123
"tcat14556",59
"tcat18203",13
"tcat6859",86
"tcat1744",88
"tcat12359",3
"tcat12876",130
"tcat16536",149
"tcat14955",6
"tcat7813",61
"tcat12089",140
"tcat13630",112
"tcat4181",67
"tcat13357",55
"tcat18048",104
"tcat13579",121
"tcat6983",84
"tcat6900",51
"tcat1175",38
"tcat16598",129
"tcat9390",63
"tcat1002",48
"tcat7821",66
"tcat12031",93
"tcat2727",32
"tcat14176",38
"tcat15067",71
"tcat8666",99
"tcat13018",77
"tcat11254",136
"tcat16086",131
"tcat19239",148
"tcat2853",136
"tcat809",80
"tcat11203",41
"tcat6472",143
"tcat12463",66
"tcat14219",30
"tcat18387",63
"tcat14738",13
"tcat17101",35
"tcat18913",59
"tcat18213",77
"tcat2532",81
"tcat9023",118
"tcat2305",133
"tcat19069",89
"tcat8082",128
"tcat17228",46
"tcat13465",135
"tcat16238",108
"tcat3892",3
"tcat10982",32
"tcat5156",147
"tcat13712",126
"tcat4976",100
"tcat12992",121
"tcat1532",20
"tcat7401",6
"tcat15621",33
"tcat2455",123
"tcat19576",60
"tcat14728",136
"tcat14774",107
"tcat1426",82
"tcat9358",151
"tcat11061",151
"tcat3228",66
"tcat5029",74
"tcat11070",46
"tcat10415",70
"tcat19836",10
"tcat15797",70
"tcat19613",133
"tcat7270",92
"tcat7082",130
"tcat17261",34
"tcat5862",43
"tcat4251",38
"tcat3737",4
"tcat6336",98
"tcat12535",91
"tcat1591",30
"tcat7216",100
"tcat1292",3
"tcat18807",108
"tcat5051",151
"tcat15684",124
"tcat6894",109
"tcat3846",40
"tcat18707",22
"tcat14925",83
"tcat2733",87
"tcat2936",86
"tcat2242",37
"tcat5509",2
"tcat6768",91
"tcat8538",1
"tcat9538",102
"tcat12223",133
"tcat13700",18
"tcat14462",2
"tcat14550",152
"tcat6815",144
"tcat5262",108
"tcat5815",117
"tcat1124",26
"tcat4872",76
"tcat2142",59
"tcat8621",1
"tcat3259",96
"tcat11257",96
"tcat12169",125
"tcat16573",154
"tcat4126",129
"tcat8123",154
"tcat7326",95
"tcat3238",61
"tcat28",26
"tcat2284",10
"tcat526",115
"tcat8037",101
"tcat776",112
"tcat8210",95
"tcat2443",124
"tcat18210",10
"tcat1111",115
"tcat4275",46
"tcat7501",151
"tcat11933",70
"tcat1048",110
"tcat2878",61
"tcat7240",73
"tcat17247",25
"tcat8384",57
"tcat17852",109
"tcat2883",14
"tcat962",90
"tcat2334",117
"tcat10344",136
"tcat13220",8
"tcat12629",117
"tcat13041",110
"tcat17441",60
"tcat8927",91
"tcat13815",61
"tcat15881",1
"tcat10205",68
"tcat2339",75
"tcat5005",102
"tcat18491",37
"tcat7005",45
"tcat12654",9
"tcat10609",142
"tcat14337",126
"tcat1584",6
"tcat3337",141
"tcat11677",25
"tcat8038",108
"tcat12159",74
"tcat1433",125
"tcat14727",39
"tcat19070",18
"tcat7659",38
"tcat7598",80
"tcat604",88
"tcat19719",1
"tcat15201",81
"tcat16135",88
"tcat7068",89
"tcat5634",150
"tcat576",33
"tcat15157",77
"tcat12764",88
"tcat9378",76
"tcat14207",152
"tcat18931",94
"tcat12958",28
"tcat12618",84
"tcat11371",62
"tcat3033",104
"tcat11896",95
"tcat11895",128
"tcat7758",6
"tcat2422",68
"tcat991",102
"tcat5609",1
"tcat16001",40
"tcat19412",1
"tcat13271",6
"tcat2328",49
"tcat8426",154
"tcat37",90
"tcat15789",5
"tcat12827",111
"tcat7775",145
"tcat1319",59
"tcat1932",128
"tcat1867",121
"tcat416",52
"tcat1971",66
"tcat17081",114
"tcat79",131
"tcat19224",40
"tcat17213",109
"tcat19958",43
"tcat9660",88
"tcat15695",83
"tcat9225",45
"tcat6956",10
"tcat13147",65
"tcat16151",30
"tcat5341",69
"tcat13767",151
"tcat11885",97
"tcat6360",137
"tcat15117",97
"tcat1699",128
"tcat8409",123
"tcat1346",19
"tcat206",83
"tcat13924",13
"tcat12465",24
"tcat6628",115
"tcat4334",148
"tcat13807",123
"tcat7229",26
"tcat14392",117
"tcat7257",90
"tcat14741",73
"tcat4528",9
"tcat3394",107
"tcat15518",65
"tcat10869",1
"tcat18678",130
"tcat11785",3
"tcat10107",86
"tcat2713",132
"tcat17503",73
"tcat3401",20
"tcat15542",130
"tcat15347",79
"tcat10387",121
"tcat19879",32
"tcat7281",54
"tcat17587",72
"tcat19704",65
"tcat14013",98
"tcat13870",45
"tcat2510",45
"tcat9213",17
"tcat7822",67
"tcat3537",27
"tcat17931",113
"tcat19611",109
"tcat2155",18
"tcat14519",69
"tcat11860",24
"tcat6021",84
"tcat6561",13
"tcat14056",71
"tcat13157",117
"tcat17972",88
"tcat19257",67
"tcat12551",132
"tcat12810",60
"tcat19397",1
"tcat4018",134
"tcat10703",133
"tcat16152",3
"tcat5192",136
"tcat636",30
"tcat13188",41
"tcat9644",51
"tcat14309",119
"tcat4132",146
"tcat11877",20
"tcat5068",3
"tcat1908",114
"tcat12800",124
"tcat73",6
"tcat13163",149
"tcat16722",139
"tcat2171",152
"tcat2702",62
"tcat4749",133
"tcat11584",135
"tcat14255",130
"tcat948",30
"tcat3827",64
"tcat11386",149
"tcat9392",68
"tcat13186",113
"tcat12300",114
"tcat477",119
"tcat11042",63
"tcat7716",95
"tcat17516",57
"tcat15070",117
"tcat16434",108
"tcat19782",76
"tcat5217",21
"tcat13237",2
"tcat12953",98
"tcat18448",93
"tcat11259",27
"tcat136",112
"tcat7172",140
"tcat6141",99
"tcat9223",136
"tcat8617",89
"tcat18064",145
"tcat5272",133
"tcat15933",18
"tcat218",79
"tcat9332",99
"tcat8928",58
"tcat17628",130
"tcat4065",10
"tcat10810",77
"tcat10934",57
"tcat5878",41
"tcat6665",41
"tcat14923",132
"tcat16062",99
"tcat5892",50
"tcat10467",70
"tcat2761",74
"tcat17708",30
"tcat4492",69
"tcat14234",61
"tcat13212",74
"tcat9457",33
"tcat3856",24
"tcat8885",149
"tcat13668",28
"tcat18498",148
"tcat7644",133
"tcat3724",51
"tcat13369",24
"tcat10958",36
"tcat5964",23
"tcat6139",53
"tcat18223",132
"tcat17398",5
"tcat5415",141
"tcat19544",114
"tcat14686",134
"tcat581",75
"tcat9771",37
"tcat3434",22
"tcat5936",33
"tcat16505",20
"tcat9536",140
"tcat14517",37
"tcat15461",119
"tcat1009",40
"tcat7592",44
"tcat8717",122
"tcat7808",73
"tcat14625",81
"tcat18028",54
"tcat9983",100
"tcat17979",19
"tcat5273",81
"tcat12743",91
"tcat5855",1
"tcat17533",71
"tcat9149",37
"tcat2612",131
"tcat1401",127
"tcat19654",129
"tcat7014",29
"tcat937",7
"tcat13286",55
"tcat16543",111
"tcat1946",57
"tcat8510",29
"tcat7508",79
"tcat10721",4
"tcat2476",52
"tcat428",80
"tcat18646",45
"tcat7662",121
"tcat7865",152
"tcat11530",144
"tcat224",39
"tcat10487",93
"tcat1373",74
"tcat16943",111
"tcat10831",72
"tcat10802",5
"tcat19032",135
"tcat11947",6
"tcat8822",148
"tcat15721",47
"tcat10051",148
"tcat14591",138
"tcat11723",86
"tcat10739",144
"tcat10913",14
"tcat8776",96
"tcat3830",49
"tcat7831",151
"tcat5820",149
"tcat6229",140
"tcat3670",72
"tcat189",75
"tcat14806",3
"tcat2889",91
"tcat6487",15
"tcat19899",125
"tcat13531",101
"tcat10672",116
"tcat4118",39
"tcat15326",40
"tcat13017",33
"tcat5143",110
"tcat18798",12
"tcat4588",91
"tcat7196",70
"tcat14395",128
"tcat5656",151
"tcat9157",39
"tcat19865",60
"tcat1203",41
"tcat10473",46
"tcat7217",77
"tcat8591",39
"tcat16907",65
"tcat3626",46
"tcat17278",47
"tcat8151",63
"tcat10385",132
"tcat2308",120
"tcat13377",43
"tcat15620",10
"tcat10850",17
"tcat15231",30
"tcat11847",71
"tcat11946",47
"tcat15043",110
"tcat15612",147
"tcat15284",121
"tcat12969",88
"tcat17617",140
"tcat4785",41
"tcat13619",123
"tcat16789",58
"tcat3319",66
"tcat13590",19
"tcat4959",119
"tcat15412",114
"tcat1529",140
"tcat4765",54
"tcat1537",108
"tcat3432",32
"tcat4889",65
"tcat1905",54
"tcat11656",103
"tcat17317",148
"tcat16118",117
"tcat16006",58
"tcat17658",109
"tcat16590",51
"tcat7209",50
"tcat11940",101
"tcat13012",126
"tcat3121",122
"tcat16268",55
"tcat12418",75
"tcat3380",24
"tcat1197",25
"tcat8563",141
"tcat9673",142
"tcat8112",87
"tcat786",127
"tcat12575",143
"tcat19961",114
"tcat3599",21
"tcat4288",62
"tcat601",25
"tcat657",50
"tcat8017",6
"tcat12349",114
"tcat4656",76
"tcat5625",121
"tcat3523",65
"tcat12423",134
"tcat10955",70
"tcat18287",61
"tcat11784",137
"tcat389",125
"tcat7618",96
"tcat8257",56
"tcat964",131
"tcat9460",106
"tcat6444",111
"tcat7394",143
"tcat11086",102
"tcat5282",153
"tcat11578",111
"tcat6596",130
"tcat7790",119
"tcat10000",70
"tcat3579",77
"tcat8068",108
"tcat9915",90
"tcat13582",82
"tcat11854",56
"tcat3209",123
"tcat4054",39
"tcat10099",20
"tcat16003",74
"tcat13768",56
"tcat12533",62
"tcat14842",150
"tcat13745",87
"tcat4151",123
"tcat15837",47
"tcat5090",147
"tcat1763",34
"tcat9038",116
"tcat19903",47
"tcat8904",96
"tcat12894",12
"tcat9697",5
"tcat10187",26
"tcat4573",110
"tcat6870",126
"tcat12112",139
"tcat11024",129
"tcat15644",51
"tcat4922",91
"tcat18246",140
"tcat12922",60
"tcat15261",34
"tcat17560",19
"tcat16425",126
"tcat5109",106
"tcat17640",129
"tcat6772",101
"tcat17232",58
"tcat15680",137
"tcat12645",83
"tcat16945",3
"tcat2105",92
"tcat11198",108
"tcat5935",145
"tcat11291",62
"tcat936",134
"tcat16359",145
"tcat1458",19
"tcat15396",40
"tcat3973",9
"tcat10890",102
"tcat623",25
"tcat18808",55
"tcat1835",81
"tcat19361",33
"tcat15676",154
"tcat15521",83
"tcat19462",73
"tcat14259",81
"tcat7384",48
"tcat17872",25
"tcat18424",111
"tcat8470",2
"tcat14335",60
"tcat6551",90
"tcat5883",128
"tcat11761",96
"tcat10797",140
"tcat13725",149
"tcat11126",59
"tcat19537",149
"tcat5728",61
"tcat2828",56
"tcat13104",62
"tcat2693",63
"tcat13580",4
"tcat6172",90
"tcat10683",10
"tcat18276",81
"tcat9320",126
"tcat4715",28
"tcat9551",44
"tcat12428",39
"tcat12710",93
"tcat5504",78
"tcat1998",111
"tcat18872",15
"tcat4918",105
"tcat17814",120
"tcat16545",65
"tcat4441",19
"tcat6437",119
"tcat6055",64
"tcat18517",121
"tcat8511",25
"tcat12776",89
"tcat4601",136
"tcat11372",118
"tcat19733",145
"tcat14416",51
"tcat11388",32
"tcat19835",79
"tcat8989",116
"tcat6736",37
"tcat18541",10
"tcat14983",7
"tcat10563",16
"tcat19005",31
"tcat12155",89
"tcat13042",18
"tcat6702",39
"tcat3000",81
"tcat9817",132
"tcat19703",29
"tcat10516",13
"tcat18459",71
"tcat2382",48
"tcat10041",70
"tcat3971",131
"tcat9036",128
"tcat14959",109
"tcat919",31
"tcat2491",126
"tcat3042",100
"tcat6548",149
"tcat2170",90
"tcat3650",45
"tcat9516",154
"tcat7506",72
"tcat18173",20
"tcat13562",119
"tcat19176",129
"tcat7522",71
"tcat12638",17
"tcat4688",5
"tcat17234",116
"tcat4894",151
"tcat16212",135
"tcat15422",64
"tcat17078",131
"tcat5221",26
"tcat15772",144
"tcat5364",103
"tcat4991",20
"tcat10396",107
"tcat14892",10
"tcat8856",131
"tcat7092",85
