Higher taxonomic group,Order,Family,Genus,Species,femalediploidnumber,malediploidnumber,"Predicted ploidy (1,2,3,4)",reproductivemode,sexchromosome,"Genotypic (male heterogametic,female heterogametic,GSD,polygenic)","Haplodiploidy (arrhenotoky,paternal genome elimination,other)","Environmental (TSD,TSD Ia,TSD Ib,TSD II,size,density,pH,ESD_other)","Polyfactorial (yes,no)","Molecular basis (dosage,Y dominant,W dominant)",entry initials,entry name,entry email,"notes, comments",source: Chromosome number (female),source: Chromosome number (male),"source: Predicted ploidy (1,2,3,4)","source: Sexual system (hermaphrodite,monoecy,dioecy,gynodioecy,androdioecy,gynomonoecy,andromonoecy,polygamodioecy,polygamomonoecy,apomictic,other)","source: Karyotype (ZO,ZW,XY,XO,WO,homomorphic,complex XY,complex ZW)","source: Genotypic (male heterogametic,female heterogametic,GSD,polygenic)","source: Haplodiploidy (arrhenotoky,paternal genome elimination,other)","source: Environmental (TSD,TSD Ia,TSD Ib,TSD II,size,density,pH,ESD_other)","source: Polyfactorial (yes,no)","source: Molecular basis (dosage,Y dominant,W dominant)",citation
Mammalia,Carnivora,Felidae,Felis,serval,38,38,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
Mammalia,Carnivora,Felidae,Felis,silvestris,38,38,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1975) An Atlas of Mammalian Chromosomes, Volume 9, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1975) An Atlas of Mammalian Chromosomes, Volume 9, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1975) An Atlas of Mammalian Chromosomes, Volume 9, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
Mammalia,Carnivora,Felidae,Felis,viverrina,38,38,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
Mammalia,Carnivora,Felidae,Felis,wiedi,36,36,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
Mammalia,Carnivora,Felidae,Felis,yagouaroundi,38,38,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
Mammalia,Carnivora,Felidae,Felis ,lynx ,38,38,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.",,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.",,,,,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York."
Mammalia,Carnivora,Felidae,Lynx ,rufus,38,38,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.",,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.",,,,,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York."
Mammalia,Carnivora,Felidae,Panthera,pardus,38,38,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
Mammalia,Carnivora,Felidae,Panthera,tigris,38,38,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
Mammalia,Carnivora,Felidae,Uncia ,uncia,38,38,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.",,"Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.",,,,,"Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York."
Mammalia,Carnivora,Herpestidae,Herpestes,auropunctatus,36,35,,gonochorous,complex XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,X1X2Y,Yoshida K. and Kitano J. (2012) The contribution of female meiotic drive to the evolution of neo-sex chromosomes. Evolution 66: 3198-3208.,Yoshida K. and Kitano J. (2012) The contribution of female meiotic drive to the evolution of neo-sex chromosomes. Evolution 66: 3198-3208.,,Yoshida K. and Kitano J. (2012) The contribution of female meiotic drive to the evolution of neo-sex chromosomes. Evolution 66: 3198-3208.,Yoshida K. and Kitano J. (2012) The contribution of female meiotic drive to the evolution of neo-sex chromosomes. Evolution 66: 3198-3208.,Yoshida K. and Kitano J. (2012) The contribution of female meiotic drive to the evolution of neo-sex chromosomes. Evolution 66: 3198-3208.,,,,,Yoshida K. and Kitano J. (2012) The contribution of female meiotic drive to the evolution of neo-sex chromosomes. Evolution 66: 3198-3208.
Mammalia,Carnivora,Hyaenidae,Proteles ,cristatus,40,40,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York.",,"Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York.",,,,,"Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York."
Mammalia,Carnivora,Hyenidae,Crocuta,crocuta,40,40,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
Mammalia,Carnivora,Hyenidae,Hyaena,brunnea,40,40,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1974) An Atlas of Mammalian Chromosomes, Volume 8, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1974) An Atlas of Mammalian Chromosomes, Volume 8, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1974) An Atlas of Mammalian Chromosomes, Volume 8, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
Mammalia,Carnivora,Mustelidae,Amblonyx ,cinerea,38,38,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York.",,"Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York.",,,,,"Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York."
Mammalia,Carnivora,Mustelidae,Eira,barbara,38,38,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1972) An Atlas of Mammalian Chromosomes, Volume 6, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
Mammalia,Carnivora,Mustelidae,Enhydra,lutris,38,38,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.",,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.",,,,,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York."
Mammalia,Carnivora,Mustelidae,Gulo,gulo,42,42,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.",,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.",,,,,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York."
Mammalia,Carnivora,Mustelidae,Martes ,americana,38,38,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.",,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.",,,,,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York."
Mammalia,Carnivora,Mustelidae,Melogale ,moschata,38,38,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.",,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.",,,,,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York."
Mammalia,Carnivora,Mustelidae,Mephitis ,mephitis,50,50,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.",,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.",,,,,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York."
Mammalia,Carnivora,Mustelidae,Mustela,erminea,44,44,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
Mammalia,Carnivora,Mustelidae,Mustela,frenata,42,42,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1971) An Atlas of Mammalian Chromosomes, Volume 5, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
Mammalia,Carnivora,Mustelidae,Mustela,vison,30,30,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1968) An Atlas of Mammalian Chromosomes, Volume 2, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
Mammalia,Carnivora,Mustelidae,Mustela ,putorius furo,40,40,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.",,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.",,,,,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York."
Mammalia,Carnivora,Mustelidae,Mustele ,altaika,44,44,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.",,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York.",,,,,"Hsu T.C., Benirschke K. (1970) An Atlas of Mammalian Chromosomes, Volume 4, Springer-Verlag, New York."
Mammalia,Carnivora,Mustelidae,Spilogale ,putorius,64,64,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.",,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.",,,,,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York."
Mammalia,Carnivora,Mustelidae,Taxidea,taxus,32,32,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1974) An Atlas of Mammalian Chromosomes, Volume 8, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1974) An Atlas of Mammalian Chromosomes, Volume 8, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1974) An Atlas of Mammalian Chromosomes, Volume 8, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
Mammalia,Carnivora,Otariidae,Callorhinus ,ursinus,36,36,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.",,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York.",,,,,"Hsu T.C., Benirschke K. (1969) An Atlas of Mammalian Chromosomes, Volume 3, Springer-Verlag, New York."
Mammalia,Carnivora,Otariidae,Eumetopias,jubata,36,36,,gonochorous,XY,male heterogametic,,,,,JK,Jun Kitano,jkitano@lab.nig.ac.jp,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.","Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,"Hsu T.C., Benirschke K. (1974) An Atlas of Mammalian Chromosomes, Volume 8, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1974) An Atlas of Mammalian Chromosomes, Volume 8, Springer-Verlag, New York.","Hsu T.C., Benirschke K. (1974) An Atlas of Mammalian Chromosomes, Volume 8, Springer-Verlag, New York.",,,,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189."
